Original Title,Language,Text
Game of Thrones,zh,《權力的遊戲》（英語：Game of Thrones）是一部中世紀史詩奇幻题材的美國電視連續劇。该剧以美國作家喬治·R·R·馬丁的奇幻文學《冰與火之歌》系列作為基础改编創作，由大衛·貝尼奥夫和D·B·魏斯（D. B. Weiss）编剧執筆，再由HBO有线电视联播网推出，该剧剧名取自于小说《冰与火之歌》的第一部。劇集第一集在2011年4月17日開播。该电视剧一上映即获得极高的评价。HBO在2011年4月19日播出第一季第一集后，随即签下该電視劇的第二季。
Donald Trump,en,"Donald John Trump (born June 14, 1946) is the 45th and current president of the United States. Before entering politics, he was a businessman and television personality.
Trump was born and raised in Queens, a borough of New York City, and received a bachelor's degree in economics from the Wharton School. He took charge of his family's real-estate business in 1971, renamed it The Trump Organization, and expanded its operations from Queens and Brooklyn into Manhattan. The company built or renovated skyscrapers, hotels, casinos, and golf courses. Trump later started various side ventures, mostly by licensing his name. He owned the Miss Universe and Miss USA beauty pageants from 1996 to 2015 and produced and hosted The Apprentice, a reality television show, from 2003 to 2015. As of 2019, Forbes estimated his net worth to be $3.1 billion.Trump entered the 2016 presidential race as a Republican and defeated 16 other candidates in the primaries. His political positions have been described as populist, protectionist, and nationalist. Despite not being favored in most forecasts, he was elected over Democratic nominee Hillary Clinton, although he lost the popular vote. He became the oldest first-term U.S. president, and the first without prior military or government service. His election and policies have sparked numerous protests. Trump has made many false or misleading statements during his campaign and presidency. The statements have been documented by fact-checkers, and the media have widely described the phenomenon as unprecedented in American politics. Many of his comments and actions have also been characterized as racially charged or racist.
During his presidency, Trump ordered a travel ban on citizens from several Muslim-majority countries, citing security concerns; after legal challenges, the Supreme Court upheld the policy's third revision. He enacted a tax-cut package for individuals and businesses, rescinding the individual health insurance mandate. He appointed Neil Gorsuch and Brett Kavanaugh to the Supreme Court. In foreign policy, Trump has pursued an America First agenda, withdrawing the U.S. from the Trans-Pacific Partnership trade negotiations, the Paris Agreement on climate change, and the Iran nuclear deal, eventually increasing tensions with the country. He recognized Jerusalem as the capital of Israel, imposed import tariffs triggering a trade war with China, and attempted negotiations with North Korea toward its denuclearization.
A special counsel investigation led by Robert Mueller found that Trump and his campaign welcomed and encouraged Russian foreign interference in the 2016 presidential election under the belief that it would be politically advantageous, but did not find sufficient evidence to press charges of criminal conspiracy or coordination with Russia. Mueller also investigated Trump for obstruction of justice, and his report neither indicted nor exonerated Trump on that count. A 2019 House impeachment inquiry found that Trump solicited foreign interference in the 2020 U.S. presidential election from Ukraine to help his re-election bid and then obstructed the inquiry itself. The House impeached Trump on December 18, 2019, for abuse of power and obstruction of Congress. The Senate acquitted him of both charges on February 5, 2020."
Donald Trump,fr,"Donald John Trump [ˈdɒnəld d͡ʒɑn tɹʌmp], né le 14 juin 1946 à New York, est un homme d'affaires, animateur de télévision et homme d'État américain, président des États-Unis depuis le 20 janvier 2017.
Fils du promoteur immobilier Fred Trump, il travaille dans l'entreprise de son père pendant ses études à l’école de commerce de Wharton. Il prend en 1971 la tête de l'entreprise familiale, qu'il renomme The Trump Organization.
À partir des années 1970, il se constitue un empire immobilier et une notoriété grâce à des bâtiments prestigieux qui portent généralement son nom. Une partie de ses immeubles — dont plusieurs gratte-ciel, parmi lesquels la Trump Tower — se trouvent dans l'État de New York, mais il en possède également dans d'autres pays. Propriétaire de casinos, de résidences de luxe et de terrains de golf, il réalise par ailleurs de nombreux investissements dans divers domaines (sports, médias et concours de beauté notamment). Célébrité médiatique aux États-Unis dès les années 1980, impliqué dans le secteur du divertissement télévisuel, il est de 2004 à 2015 l'animateur de l'émission de téléréalité The Apprentice.
Il entre en politique dans les années 1980, et s'affilie alternativement au Parti démocrate, au Parti républicain et au Parti de la réforme, dont il brigue l'investiture pour la présidentielle de 2000 avant de renoncer. Opposé à la guerre d'Irak et au président au président George W. Bush, il est à nouveau affilié au Parti républicain à partir de 2012. Il critique la politique du président démocrate Barack Obama, dont il met en doute la citoyenneté américaine pendant plusieurs années.
Candidat aux primaires républicaines de 2016, il voit sa personne et son discours cristalliser d’importantes oppositions ; mais malgré l'hostilité de l'appareil républicain, il remporte les primaires du parti. Il mène une campagne atypique en s'appuyant sur une équipe réduite et en développant un usage intensif des réseaux sociaux. Se présentant comme un adversaire de l'establishment et du politiquement correct, il emploie un ton belliqueux, multiplie les contrevérités et les déclarations controversées, en particulier avec des propositions radicales visant à réduire l'immigration. Les observateurs qualifient généralement son discours de populiste, nationaliste, protectionniste et climato-sceptique.
Lors de l'élection présidentielle de 2016, sa victoire face à la démocrate Hillary Clinton déjoue la plupart des pronostics. Lors de sa prise de fonction, il devient le président américain le plus âgé et le plus riche de l'histoire, le premier à n'avoir jamais exercé précédemment de fonction politique ou militaire, ainsi que le cinquième à avoir gagné l'élection présidentielle américaine tout en étant devancé dans le vote populaire.
Pendant son mandat, il signe des décrets restreignant l'immigration — notamment issue de pays musulmans —, procède à une extension du mur à la frontière entre les États-Unis et le Mexique, retire son pays de l’accord de Paris sur le climat et de celui sur le nucléaire iranien, reconnaît Jérusalem comme capitale d'Israël, procède au retrait des troupes américaines de Syrie et rétablit les relations avec la Corée du Nord. En matière économique, il réduit les prélèvements obligatoires, lance une guerre commerciale, visant notamment la Chine, et bénéficie de bons résultats en matière d’emploi et de croissance.
Son style de gouvernance inhabituel — en particulier sa communication offensive et fondée sur Twitter — contribue à susciter très fréquemment des polémiques aux plans national et international. Au début de l’année 2020, il est acquitté dans le cadre d’une procédure de destitution lancée par ses adversaires démocrates à la suite d'une conversation avec le président ukrainien Volodymyr Zelensky. Briguant un second mandat, il est le grand favori des primaires républicaines."
Donald Trump,zh,"唐納德·約翰·特朗普（英語：Donald John Trump，1946年6月14日－）是美国政治人物及企業家，纽约市皇后區人（现移居佛罗里达州），為第45任暨現任美國總統。他从政前曾是商人和电视名人。
特朗普於2019年12月18日被眾議院以濫權和藐視國會的名義彈劾。他是歷史上第三位被彈劾的美國總統。彈劾審判於2020年1月16日開始，到2月5日止特朗普被判無罪。"
United States,en,"The United States of America (USA), commonly known as the United States (U.S. or US) or America, is a country consisting of 50 states, a federal district, five major self-governing territories, and various possessions. At 3.8 million square miles (9.8 million km2), it is the world's third or fourth-largest country by total area and is slightly smaller than the entire continent of Europe. Most of the country is located in central North America between Canada and Mexico. With an estimated population of over 328 million, the U.S. is the third most populous country in the world. The capital is Washington, D.C., and the most populous city is New York City.
Paleo-Indians migrated from Siberia to the North American mainland at least 12,000 years ago. European colonization began in the 16th century. The United States emerged from the thirteen British colonies established along the East Coast. Numerous disputes between Great Britain and the colonies led to the American Revolutionary War lasting between 1775 and 1783, leading to independence. The United States embarked on a vigorous expansion across North America throughout the 19th century—gradually acquiring new territories, displacing Native Americans, and admitting new states—until by 1848 it spanned the continent.
During the second half of the 19th century, the American Civil War led to the abolition of slavery in the United States. The Spanish–American War and World War I confirmed the country's status as a global military power.
The United States emerged from World War II as a global superpower. It was the first country to develop nuclear weapons and the only country to have used them in warfare. During the Cold War, the United States and the Soviet Union competed in the Space Race, culminating with the 1969 Apollo 11 mission, the spaceflight that first landed humans on the Moon. The end of the Cold War and collapse of the Soviet Union in 1991 left the United States as the world's sole superpower.The United States is a federal republic and a representative democracy. It is a founding member of the United Nations, World Bank, International Monetary Fund, Organization of American States (OAS), NATO, and other international organizations. It is a permanent member of the United Nations Security Council.
A highly developed country, the United States is the world's largest economy by nominal GDP, the second-largest by purchasing power parity, and accounts for approximately a quarter of global GDP. The United States is the world's largest importer and the second-largest exporter of goods, by value. Although its population is 4% of the world total, it holds 31% of the total wealth in the world, the largest share of global wealth concentrated in a single country. Despite income and wealth disparities, the United States continues to rank very high in measures of socioeconomic performance, including average wage, median income, median wealth, human development, per capita GDP, and worker productivity. It is the foremost military power in the world, making up more than a third of global military spending, and is a leading political, cultural, and scientific force internationally."
United States,fr,"Les États-Unis, en forme longue les États-Unis d'Amérique ou EUA (en anglais : United States et United States of America, également connus sous les abréviations US et USA), sont un pays transcontinental dont l'essentiel du territoire se situe en Amérique du Nord. Les États-Unis ont la structure politique d'une république constitutionnelle fédérale à régime présidentiel composée de cinquante États, dont quarante-huit sont adjacents et forment le Mainland. Celui-ci est encadré par l'océan Atlantique à l'est, le golfe du Mexique au sud-est et l'océan Pacifique à l'ouest, et se trouve bordé au nord par le Canada et au sud-ouest par le Mexique. Les deux États non limitrophes sont l'Alaska, situé au nord-ouest du Canada, et Hawaï, un archipel situé au milieu de l'océan Pacifique-nord. De plus, le pays comprend quatorze territoires insulaires disséminés dans la mer des Caraïbes et le Pacifique. La géographie et le climat du pays sont extrêmement diversifiés, abritant une grande variété de faune et de flore, faisant des États-Unis l'un des 17 pays mégadivers de la planète.
La capitale fédérale, Washington, est située dans le district de Columbia, une zone située hors des cinquante États. La monnaie est le dollar américain. Le drapeau se compose de treize bandes rouges et blanches ainsi que cinquante étoiles représentant les cinquante États fédérés de l'union. L'hymne national s'intitule The Star-Spangled Banner (La Bannière étoilée). Il n'y a pas de langue officielle aux États-Unis, bien que la langue nationale de facto soit l'anglais américain.
Avant d'être exploré et conquis par les Européens, le territoire américain est d'abord occupé par les Amérindiens qui migrent depuis l'Eurasie il y a environ 15 000 ans. La colonisation européenne débute au XVIe siècle. Le 14 mai 1607, la colonie anglaise de Virginie est fondée ; par la suite, douze autres colonies britanniques sont fondées le long de la côte Atlantique, tandis que d'autres puissances européennes explorent le reste du territoire américain. Une série de conflits entre les Treize colonies et la Grande-Bretagne mènent à la guerre d'indépendance en 1775. La déclaration d'indépendance est proclamée le 4 juillet 1776, dans laquelle les treize colonies se fédèrent pour former les États-Unis d'Amérique, la première nation décolonisée du monde,, reconnue par la Grande-Bretagne à la fin de la guerre en 1783. L'histoire contemporaine des États-Unis est marquée par la rivalité entre New York et Philadelphie, puis par la conquête de l'Ouest et la guerre de Sécession. Au début du XXe siècle, le pays devient une puissance industrielle qui a les moyens d'intervenir à l'extérieur de ses frontières. Il participe à la Première Guerre mondiale et subit la Grande Dépression dans les années 1930. Vainqueurs de la Seconde Guerre mondiale aux côtés des Alliés, les États-Unis deviennent une superpuissance mondiale et sont confrontés à l'URSS pendant la guerre froide.
En 2019, les États-Unis comptent environ 328 millions d'habitants et constituent le troisième pays du monde en termes de population après la Chine et l'Inde. Le pays s'étend sur 9,6 millions de km2, ce qui en fait, selon les critères, le troisième ou quatrième pays du monde en superficie après la Russie, le Canada et la Chine. La population américaine augmente grâce à un solde naturel et un solde migratoire positifs. Elle est marquée par une grande diversité ethnique en raison d'une immigration ancienne et diversifiée. L'économie nationale de type capitaliste est la plus importante au monde avec le PIB le plus élevé en 2015,, et est alimentée par une productivité du travail élevée. Les secteurs qui reflètent la puissance américaine sont l'agriculture, les industries de pointe et les services. L'économie américaine est aussi l'une des plus grandes manufacturières du monde. Le pays compte 37 % de la dépense militaire mondiale, et est une proéminente force politique et culturelle et un leader mondial dans la recherche scientifique et l'innovation technologique,,,,. Les États-Unis sont membres de l'Organisation du traité de l'Atlantique nord (OTAN), de la Coopération économique pour l'Asie-Pacifique (APEC), de l'Accord de libre-échange nord-américain (ALENA), de l'Organisation des États américains (OEA), de l'ANZUS, de l'Organisation de coopération et de développement économiques (OCDE), du G7, du G20, et membres permanents du Conseil de sécurité des Nations unies. Ils sont une puissance nucléaire depuis 1945."
United States,zh,"美利堅合眾國（英語：United States of America，縮寫为 U.S.A. 或 USA ，一般稱為 United States，或 U.S.， America 或 The States），通稱合眾國或亞美利加，中文通称「美國」，是由其下轄50个州、華盛頓哥倫比亞特區、五个自治领土及外岛共同組成的聯邦共和国。美國本土48州和联邦特区位於北美洲中部，東臨大西洋，北面是加拿大，南部和墨西哥及墨西哥灣接壤，本土位於溫帶、副熱帶地區。阿拉斯加州位於北美大陸西北方，東部為加拿大，西隔白令海峽和俄羅斯相望；夏威夷州則位於大洋洲太平洋中部的群島。美國在加勒比海和太平洋還擁有多處境外領土和島嶼地區。此外，美國还在全球140多個國家和地區擁有着374個海外軍事基地。美国国土面积超过983万平方公里 , 正式為9,834,000万平方公里，位居世界第三；同时拥有接近超过3.3億人口，為世界第三人口大国。美国有着來自世界各地的大量移民，是世界上民族和文化最多元的國家之一。美国地形与气候複雜多样，是多种野生动物的家园。
一万五千多年前，古印第安人自亚洲迁徙至北美大陆。16世纪欧洲开始殖民北美。现今的合众国起始于东海岸的13个英属美洲殖民地。欧洲七年战争后，大不列顛王國与其殖民地之间的争议愈发剧烈，最终导致在1775年爆发美国革命。1776年7月4日，正与大不列颠进行独立战争的各殖民地派出代表，协同一致發表《独立宣言》。戰爭終止於1783年，大不列顛王國承认這13個北美殖民地脫離管辖而独立，与其簽訂《巴黎條約》。这场战争也是第一场成功脱离欧洲殖民帝国的独立战争。1781年，《邦联条例》在邦聯13個構成州获得通过，共同组成了邦聯議會。1787年《美利堅合眾國憲法》完稿，將「美利堅合眾國」改制為聯邦體制，联邦政府随之成立。1791年，合称为权利法案的十条宪法修正案獲得批准，担保了基本民权。
自19世紀起，美國政府通过强行移置原住民，征服及购买等方法大力擴張领土，随着逐渐不断地承认扩张领地为新州份，至1848年时美国疆域已横跨整个北美大陆。19世纪下半叶爆发的內戰，使曾经合法的奴隶制度得以终结。在19世纪末，美国已将其领土延伸到太平洋的夏威夷。美国经济在工业革命的推动下，自那时起也开始蓬勃发展。随后美西战争的胜利，使美国势力进入加勒比海地区及太平洋西部；而参与第一次世界大戰则奠定其作为一个全球性军事力量的基础。尽管在1930年代經歷經濟大蕭條，美国在第二次世界大戰獲得勝利之后崛起成为超级大国。作为联合国安全理事会常任理事国，美國是世界上第一个研发出核武器，也是唯一一个曾将其投入实战的国家。战后美国与苏联进行了數十年冷戰，顶峰时期的太空竞赛促使了人类第一次登月计划的成功。在1991年蘇聯解體後，至今三十年來，美国成為世上唯一的超級強國及經濟強國，在未來五十年也沒有其他國家能撼動美國的地位。
美国作为一个高度发达国家，是世界上最大的進口國及第二大的商品出口國，國內生產总值按國際匯率排名世界第一、而依購買力平均則位列第二。在国民平均薪資、人類發展指數、人均国内生产总值以及人均生产力等社会经济学表现指标上，美国均处于世界领先地位。美国经济已步入后工业时代，服务行业占据经济主导地位，位列世界第一。同时，其生产制造业规模也極為龐大，位居於世界第二。仅占据全世界4.4%人口的美国，贡献了世界四分之一的国内生产总值和三分之一的全球军事开支，這使其在經濟和軍事上均處於全世界最重要的地位。美国在政治和文化上是一支世界显著並影響深遠的力量，也在科学研究和技术创新上占据世界领导地位。美国是联合国、世界银行、国际货币基金组织、美洲国家组织等的创始成员国。"
Once Upon a Time in Hollywood,en,"Once Upon a Time in Hollywood is a 2019  comedy-drama film written and directed by Quentin Tarantino. Produced by Columbia Pictures, Bona Film Group, Heyday Films, and Visiona Romantica and distributed by Sony Pictures Releasing, it is a co-production between the United States, United Kingdom and China. It features a large ensemble cast led by Leonardo DiCaprio, Brad Pitt, and Margot Robbie. Set in 1969 Los Angeles, the film follows an actor and his stunt double, as they navigate the changing film industry, and features ""multiple storylines in a modern fairy tale tribute to the final moments of Hollywood's golden age.""Announced in July 2017, it is the first Tarantino film to not involve Bob and Harvey Weinstein, as Tarantino ended his partnership with them following the sexual abuse allegations against the latter. After a bidding war, the film was distributed by Sony Pictures, which met Tarantino's demands including final cut privilege. Pitt, DiCaprio, Robbie, Zoë Bell, Kurt Russell, and others joined the cast between January and June 2018. Principal photography lasted from June through November around Los Angeles. It is the last film to feature Luke Perry, who died in March 2019.
Once Upon a Time in Hollywood premiered at the Cannes Film Festival on May 21, 2019, and was theatrically released in the United States on July 26, 2019 and in the United Kingdom on August 14. The film has grossed $374 million worldwide and received praise from critics for Tarantino's screenplay and direction, acting, cinematography, costume design, production values, and soundtrack, though it received criticism for its pacing and running time. Among its various accolades, the film was chosen by the American Film Institute and the National Board of Review as one of the top ten films of the year. It received 10 nominations at the 92nd Academy Awards, including Best Picture, and won Best Supporting Actor (Pitt) and Best Production Design. It also won Best Motion Picture – Musical or Comedy at the 77th Golden Globe Awards.
A television series of Bounty Law depicted in the film is being developed by Tarantino, who has written five episodes of the series."
Once Upon a Time in Hollywood,fr,"Once Upon a Time… in Hollywood , Il était une fois à Hollywood au Québec ou Il était une fois... à Hollywood  en Belgique francophone est un film américano-britannique écrit, coproduit et réalisé par Quentin Tarantino, sorti en 2019.
Le film est présenté en compétition officielle lors du Festival de Cannes 2019. Salué par la critique, le film remporte 3 Goldens Globes dont le Golden Globe du meilleur film musical ou comédie en 2020. Par la suite, il est nommé 7 fois aux BAFTA 2020 et 10 fois aux Oscars."
Once Upon a Time in Hollywood,zh,"《從前，有個好萊塢》（英語：Once Upon a Time in Hollywood，或記作Once Upon a Time in... Hollywood）是一部2019年美國和英國合拍的喜劇劇情片，由昆汀·塔倫提諾執導兼編劇。該片以群戲的方式呈現，其主演包括李奧納多·狄卡皮歐、布萊德·彼特、瑪格·羅比、奥斯汀·巴特勒、達科塔·芬妮、提摩西·奧利芬、布魯斯·鄧恩、艾米爾·荷許、瑪格麗特·庫利及艾爾·帕西諾。故事背景設定於架空歷史的1969年洛杉磯，主要描述一名即將過氣的電視演員和他的替身演員好友陰錯陽差地因為某一天的見聞與決定而阻止了半年後的一場悲劇。
其計劃最初於2017年7月對外公開，該片為塔倫提諾在10月份哈維·溫斯坦性騷擾事件發生後製作的首部與哈維·溫斯坦切斷關係的電影。索尼影視娛樂在滿足塔倫提諾的幾項要求後贏得了電影發行權，其中包括最終剪輯權。之後，彼特、狄卡皮歐和羅比，以及如佐伊·貝爾與寇特·羅素等數名塔倫提諾電影常客於2018年1月至6月間相繼加入演員陣容。主要拍攝於2018年6月至11月在洛杉磯附近進行。該片為盧克·派瑞最後一部演出的電影，他於2019年3月4日因中風而病逝。
《從前，有個好萊塢》於2019年5月21日在第72屆坎城影展上舉行全球首映，並於2019年7月26日在美國上映。"
Spider-Man: Far From Home,en,"Spider-Man: Far From Home is a 2019 American superhero film based on the Marvel Comics character Spider-Man, co-produced by Columbia Pictures and Marvel Studios, and distributed by Sony Pictures Releasing. It is the sequel to Spider-Man: Homecoming (2017) and the twenty-third film in the Marvel Cinematic Universe (MCU). The film is directed by Jon Watts, written by Chris McKenna and Erik Sommers, and stars Tom Holland as Peter Parker / Spider-Man, alongside Samuel L. Jackson, Zendaya, Cobie Smulders, Jon Favreau, J. B. Smoove, Jacob Batalon, Martin Starr, Marisa Tomei, and Jake Gyllenhaal. In Spider-Man: Far From Home, Parker is recruited by Nick Fury and Mysterio to face the Elementals while he is on a school trip to Europe.
Discussions for a sequel to Spider-Man: Homecoming began by October 2016, and the project was confirmed later that year. Holland, Watts, and the writers were all set to return by the end of 2017. In 2018, Jackson and Gyllenhaal joined the cast as Fury and Mysterio, respectively. Holland revealed the sequel's title ahead of filming, which began that July and took place in England, the Czech Republic, Italy, and the New York metropolitan area. Production wrapped in October 2018. The film's marketing campaign was the most expensive for a film ever and attempted to avoid revealing spoilers for Avengers: Endgame prior to that film's April 2019 release.
Spider-Man: Far From Home premiered at the TCL Chinese Theatre on June 26, 2019, and was theatrically released in the United States on July 2. The film received positive reviews for its humor, visual effects, and performances (particularly those of Holland and Gyllenhaal). It grossed over $1.1 billion worldwide, making it the first Spider-Man film to pass the billion-dollar mark, Sony Pictures' highest-grossing film ever, the fourth-highest-grossing film of 2019, and the 24th-highest-grossing film. A third film is scheduled for release on July 16, 2021."
Spider-Man: Far From Home,fr,"Spider-Man: Far From Home, ou Spider-Man : Loin des siens au Québec, est un film de super-héros américain réalisé par Jon Watts, sorti en 2019. Vingt-troisième film de l'univers cinématographique Marvel et onzième et dernier de la phase III, il est le deuxième opus de Spider-Man joué par Tom Holland dans cet univers après Spider-Man: Homecoming, du même réalisateur, sorti en 2017. En dépassant un milliard de dollars de recettes mondiales en quatre semaines d'exploitation, il devient le plus lucratif des films parmi les différentes séries Spider-Man."
Spider-Man: Far From Home,zh,"《蜘蛛侠：英雄远征》（英語：Spider-Man: Far From Home，香港译《蜘蛛俠：決戰千里》，台湾译《蜘蛛人：離家日》）是一部于2019年上映的美国超级英雄电影，由漫威漫画旗下角色蜘蛛人故事改編，哥伦比亚影业与漫威影业共同制片，並由索尼影视娱乐发行。本片为2017年電影《蜘蛛人：返校日》的续集，「漫威电影宇宙」系列的第二十三部电影，亦是漫威电影宇宙“无限传奇”的最后一部电影。由強·華茲执导，克里斯·麥肯納和艾瑞克·桑默斯共同编剧。主演包括汤姆·赫兰德、山繆·傑克森、辛蒂亞、蔻碧·史莫德、強·法夫洛、J·B·史慕福、雅各布·貝塔隆、馬丁·斯塔爾、瑪麗莎·托梅和傑克·葛倫霍。該片為首部史丹·李未在漫威電影宇宙中客串角色的電影，亦是繼《終局之戰》後第二部漫威電影宇宙加上全新片段後重映的作品。
2016年10月，已開始為《蜘蛛人：返校日》續集進行討論。2017年7月，霍蘭德確認回歸出演角色。同年12月，華茲確認回歸執導電影。主要攝影於2018年7月初在英格蘭、捷克、威尼斯和紐約進行，並於2018年10月結束。
電影於2019年7月2日在美國以IMAX和3D形式發行。該電影是蜘蛛人有史以來票房最高的電影，並成為索尼影業有史以來最賣座的電影。"
YouTube,en,"YouTube is an American video-sharing platform headquartered in San Bruno, California. Three former PayPal employees—Chad Hurley, Steve Chen, and Jawed Karim—created the service in February 2005. Google bought the site in November 2006 for US$1.65 billion; YouTube now operates as one of Google's subsidiaries.
YouTube allows users to upload, view, rate, favorites, share, add to playlists, flag, report, comment on videos, and subscribe to other users. It offers a wide variety of user-generated and corporate media videos. Available content includes video clips, TV show clips, music videos, short and documentary films, audio recordings, movie trailers, live streams, and other content such as video blogging, short original videos, and educational videos. Most content on YouTube is uploaded by individuals, but media corporations including CBS, the BBC, Vevo, Spotify, Netflix, and Hulu offer some of their material via YouTube as part of the YouTube partnership program. Unregistered users can only watch videos on the site, while registered users are permitted to upload an unlimited number of videos and add comments to videos. Videos deemed potentially inappropriate are available only to registered users affirming themselves to be at least 18 years old.
YouTube and selected creators earn advertising revenue from Google AdSense, a program which targets ads according to site content and audience. The vast majority of its videos are free to view, but there are exceptions, including subscription-based premium channels, film rentals, as well as YouTube Music and YouTube Premium, subscription services respectively offering premium and ad-free music streaming, and ad-free access to all content, including exclusive content commissioned from notable personalities. As of February 2017, there were more than 400 hours of content uploaded to YouTube each minute, and one billion hours of content being watched on YouTube every day. As of August 2018, the website is ranked as the second-most popular site in the world, according to Alexa Internet, just behind Google. As of May 2019, more than 500 hours of video content are uploaded to YouTube every minute. Based on reported quarterly advertising revenue, YouTube is estimated to have US$15 billion in annual revenues.
YouTube has faced criticism over aspects of its operations, including its handling of copyrighted content contained within uploaded videos, its recommendation algorithms perpetuating videos that promote conspiracy theories and falsehoods, hosting videos ostensibly targeting children but containing violent and/or sexually suggestive content involving popular characters, videos of minors attracting pedophilic activities in their comment sections, and fluctuating policies on the types of content that is eligible to be monetized with advertising."
YouTube,fr,"YouTube (en français : [ jutyb] ou [ jutjub], en anglais : [ˈjutub]) est un site web d’hébergement de vidéos et un média social sur lequel les utilisateurs peuvent envoyer, regarder, commenter, évaluer et partager des vidéos en streaming. Il a été créé en février 2005 par Steve Chen, Chad Hurley et Jawed Karim, trois anciens employés de PayPal, et racheté par Google en octobre 2006 pour 1,65 milliard de dollars. Le service est situé à San Bruno, en Californie.
En 2009, environ 350 millions de personnes visitent chaque mois ce site. Le 28 octobre 2010, l'ensemble des chaînes de YouTube atteint le milliard d'abonnés. En 2018, chaque mois, YouTube compte plus d'1,9 milliard d'utilisateurs connectés."
YouTube,zh,"YouTube是源自美國的影片分享網站，也是目前全球最大的視頻搜索和分享平臺，讓使用者上載、觀看、分享及評論影片。公司於2005年2月14日註冊，網站的口號為「Broadcast Yourself」，網站的標誌意念來自早期電視顯示器（阴极射线管）。此網站沒有官方的中文名字。中國大陸官媒有時候將其譯為优兔，但更多時候直接使用其原名。
2005年，YouTube由陳士駿(Steve Chen)、查得·賀利、賈德·卡林姆等人創立，賈德·卡林姆作为网站创始者亦是YouTube最早影片《我在動物園》的上传者。2006年11月，Google公司以16.5億美元收購YouTube，並把其當做一間子公司來經營。Google最初对于如何透过YouTube盈利，一直保持著谨慎的态度。收購後的YouTube依然風靡全球網路使用者。花旗銀行分析師認為，以2012年計算，Google从YouTube獲得24億美元的收入。无Google帳號的用户仍可以觀看YouTube中的影片，但無法上传影片及留言。註冊用戶可以無限量上傳影片。當影片多次被檢舉，經過核實後，含有暴力或裸露的内容會被定為“18歲以上註冊用户才可以觀看”，而色情以及侵犯版权的内容（比如仍在上映或發行影音產品的电影，電視劇或動畫片）會被刪除，另外也禁止特定的買賣主題影片。
加利福尼亚州聖布里諾是YouTube總公司的所在，網站藉由HTML5 WebM影片來播放由上傳者製成的影片內容，包括電影剪輯、電視短片、预告片、音樂錄影帶等，以及其他上傳者自製的影片，如VLOG、原創的影片等。大部分YouTube的上傳者為個人，但也有一些媒體公司如哥倫比亞廣播公司、英國廣播公司、VEVO以及其他團體與YouTube有合作夥伴計劃，上傳自家所錄製的影片。
今日它已經成為影音網站的翹楚，不單在娛樂音市場上吸引觀眾，又成功把龐大流量轉變為社群平台，並激發網上創作產業，例如每年YouTube名人的演出YouTube FanFest等收看人數與收入都相當驚人，同時企業則申請官方帳號用作廣告與線上傳媒渠道、NGO的推廣公關等等，成為又一段矽谷文化新創成功的經營典範，當然也是因為硬體支援，才能承受龐大的資訊量而發展起來，還有恰好的創業時機換來的知名度與其爆紅效應。儘管有大量用戶支持，但同類型網站激烈競爭下內容更變得重要，因此近幾年眼光開始向網上知名製作者，YouTube對這些擁有百萬訂閱的人十分器重，給予獎盃回饋與官方聚會活動邀請、以及更高的薪資分紅等等（這類職業化的影片創作者被稱為YouTuber），追求高點擊率已經成為許多人獲取財富的方式之一，第一個破十億點閱率的男歌手是PSY（Gangnam Style），第一個破十億點閱率的女歌手是凱蒂·佩芮。2015年9月，PewDiePie成为第一个观看次数超过100亿次的YouTube频道。
2016年7月17日，谷歌发布截至6月30日的2015财年第二季度财报显示，现在YouTube有超过15亿用户，世界上所有上网的人群中几乎有三分之一的人每天在YouTube合计耗費數亿小时的时间观看影片，现在YouTube的观看时间比過去增长60%，这是近幾年来最高的增长比例。
截至2017年2月，YouTube每分鐘上傳的影片时长超过400小时，每天的观看时长达10亿小时。据Alexa Internet报導，截至2018年8月，YouTube被评为全球第二大热门网站。2018年6月6日，《2017年BrandZ最具价值全球品牌100强》公布，YouTube名列第43位。"
The Mandalorian,en,"The Mandalorian, also known as Star Wars: The Mandalorian, is an American space Western web television series created by Jon Favreau and released on Disney+. It is the first live action series in the Star Wars franchise. Set five years after the events of Return of the Jedi and 25 years prior to the events of The Force Awakens, it follows the title character Din Djarin —a Mandalorian bounty hunter—and his exploits beyond the reaches of the New Republic.
Favreau also serves as head writer and showrunner, as well as executive producer, alongside Dave Filoni, Kathleen Kennedy, and Colin Wilson. The Mandalorian premiered with the launch of Disney+ on November 12, 2019, with its eight-episode first season. A second season has been ordered, which is set to premiere in October 2020. The series has received positive reviews."
The Mandalorian,fr,"The Mandalorian (littéralement « Le Mandalorien ») est une série télévisée en live-action créée par Jon Favreau dans l’univers de la saga Star Wars. L'histoire se déroule 5 ans après Le Retour du Jedi et 25 ans avant Le Réveil de la Force, et raconte les aventures d'un mercenaire mandalorien au-delà des territoires contrôlés par la Nouvelle République,. La série est diffusée depuis le 12 novembre 2019 sur Disney+ pour le territoire nord-américain. 
La série arrive dans plusieurs pays européens dont la France avec le lancement de Disney+ sur le continent, à partir du 24 mars 2020.
Jon Favreau est le créateur, scénariste en chef et showrunner, ainsi que le producteur exécutif, aux côtés de Dave Filoni, Kathleen Kennedy et Colin Wilson. La série met en vedette Pedro Pascal dans le rôle-titre. Il y a huit épisodes dans la première saison et une seconde est en tournage."
